population,median_income,median_house_val,num_of_white,num_of_black,num_of_indigenous,num_of_asian,num_of_islanders,num_of_others,state,county
16356.0,55890.0,173800.0,14971.0,116.0,550.0,72.0,4.0,32.0,WI,013
52128.0,78453.0,198900.0,48126.0,445.0,216.0,1266.0,1.0,439.0,WI,015
65877.0,63172.0,183600.0,61957.0,1026.0,206.0,927.0,1.0,213.0,WI,017
34655.0,57547.0,134400.0,32819.0,247.0,58.0,112.0,1.0,286.0,WI,019
58219.0,73786.0,214600.0,54311.0,1080.0,199.0,524.0,5.0,561.0,WI,021
16167.0,54526.0,145600.0,15279.0,309.0,30.0,91.0,0.0,21.0,WI,023
555474.0,78452.0,294500.0,453311.0,28123.0,1407.0,33320.0,386.0,8104.0,WI,025
89274.0,66403.0,173700.0,81831.0,2288.0,216.0,599.0,49.0,960.0,WI,027
29713.0,63856.0,242100.0,28055.0,139.0,294.0,88.0,0.0,465.0,WI,029
44034.0,59688.0,155700.0,40509.0,580.0,711.0,562.0,0.0,143.0,WI,031
45254.0,64420.0,180600.0,42070.0,350.0,82.0,1364.0,13.0,185.0,WI,033
105206.0,64777.0,195200.0,94674.0,1382.0,233.0,3854.0,457.0,506.0,WI,035
4542.0,52143.0,142100.0,4381.0,21.0,37.0,0.0,0.0,0.0,WI,037
103890.0,66390.0,167800.0,94899.0,1773.0,326.0,1548.0,88.0,1663.0,WI,039
9184.0,51959.0,143600.0,7248.0,46.0,1168.0,52.0,0.0,76.0,WI,041
52210.0,58289.0,156700.0,49935.0,829.0,57.0,456.0,1.0,181.0,WI,043
37098.0,70267.0,184900.0,35396.0,171.0,22.0,114.0,0.0,456.0,WI,045
18990.0,60597.0,162600.0,17990.0,192.0,32.0,60.0,0.0,193.0,WI,047
23715.0,73716.0,203400.0,22501.0,226.0,23.0,167.0,0.0,107.0,WI,049
6074.0,48908.0,126100.0,5821.0,8.0,46.0,32.0,0.0,22.0,WI,051
21004.0,59422.0,155100.0,18212.0,369.0,1090.0,115.0,11.0,356.0,WI,053
84808.0,71735.0,207500.0,78291.0,794.0,140.0,448.0,33.0,2132.0,WI,055
26595.0,58561.0,137800.0,24332.0,635.0,222.0,143.0,7.0,330.0,WI,057
168743.0,70073.0,203400.0,136175.0,11313.0,714.0,2999.0,193.0,4917.0,WI,059
20535.0,72328.0,171600.0,19546.0,149.0,73.0,129.0,0.0,215.0,WI,061
120291.0,62817.0,197000.0,108186.0,1976.0,345.0,5252.0,38.0,780.0,WI,063
16662.0,65009.0,150300.0,15982.0,100.0,27.0,97.0,0.0,149.0,WI,065
19469.0,53313.0,123800.0,18235.0,141.0,172.0,30.0,2.0,129.0,WI,067
28378.0,61363.0,144600.0,27125.0,194.0,77.0,89.0,5.0,115.0,WI,069
81103.0,61454.0,140400.0,74617.0,1000.0,351.0,2136.0,64.0,461.0,WI,071
137597.0,67940.0,169200.0,122925.0,847.0,232.0,7589.0,96.0,1220.0,WI,073
41720.0,55694.0,124800.0,39983.0,273.0,167.0,128.0,2.0,161.0,WI,075
15515.0,55386.0,162900.0,14795.0,101.0,55.0,84.0,0.0,129.0,WI,077
4318.0,54940.0,87800.0,483.0,17.0,3620.0,6.0,0.0,4.0,WI,078
939123.0,54793.0,172400.0,519643.0,250103.0,5185.0,42161.0,331.0,56636.0,WI,079
46091.0,63061.0,163600.0,42173.0,832.0,472.0,314.0,0.0,914.0,WI,081
38691.0,68426.0,172100.0,36844.0,139.0,467.0,134.0,0.0,41.0,WI,083
